,Unnamed: 0,wellName,MD,SW,PredictedSw,VSH,PredictedVSH,PHIF,PredictedPHIF
5630,23782,15/9-F-11 B,4337.8,0.203,0.32930392,0.294,0.29651132,0.137,0.16466361
5631,23783,15/9-F-11 B,4337.9,0.213,0.3380004,0.295,0.29686317,0.134,0.16200888
5632,23784,15/9-F-11 B,4338.0,0.205,0.34206572,0.303,0.30554256,0.133,0.16100554
5633,23785,15/9-F-11 B,4338.1,0.203,0.34110612,0.295,0.29690734,0.134,0.1618501
5634,23786,15/9-F-11 B,4338.2,0.197,0.331609,0.276,0.27688092,0.136,0.16412005
5635,23787,15/9-F-11 B,4338.3,0.187,0.3253559,0.266,0.26670462,0.139,0.16613972
5636,23788,15/9-F-11 B,4338.4,0.187,0.32198948,0.282,0.28340238,0.142,0.1677827
5637,23789,15/9-F-11 B,4338.5,0.183,0.3160463,0.278,0.27993008,0.146,0.1697911
5638,23790,15/9-F-11 B,4338.6,0.182,0.307005,0.266,0.26789948,0.149,0.17271975
5639,23791,15/9-F-11 B,4338.7,0.181,0.30296078,0.269,0.27027145,0.152,0.17410745
5640,23792,15/9-F-11 B,4338.8,0.181,0.30094707,0.273,0.27437314,0.154,0.174863
5641,23793,15/9-F-11 B,4338.9,0.182,0.3022688,0.28,0.28148612,0.154,0.17429554
5642,23794,15/9-F-11 B,4339.0,0.185,0.30249444,0.274,0.27571368,0.153,0.17406097
5643,23795,15/9-F-11 B,4339.1,0.184,0.30276284,0.261,0.26168203,0.151,0.173406
5644,23796,15/9-F-11 B,4339.2,0.184,0.30463177,0.253,0.25349632,0.15,0.17244197
5645,23797,15/9-F-11 B,4339.3,0.182,0.30791253,0.243,0.2434312,0.149,0.17090537
5646,23798,15/9-F-11 B,4339.4,0.181,0.30719468,0.251,0.25183147,0.148,0.17141145
5647,23799,15/9-F-11 B,4339.5,0.182,0.30614424,0.252,0.25291803,0.148,0.17140108
5648,23800,15/9-F-11 B,4339.6,0.18,0.3116188,0.241,0.24066739,0.147,0.1694985
5649,23801,15/9-F-11 B,4339.7,0.184,0.3084693,0.247,0.2474552,0.147,0.17067614
5650,23802,15/9-F-11 B,4339.8,0.187,0.31094894,0.228,0.22772397,0.147,0.16916269
5651,23803,15/9-F-11 B,4339.9,0.188,0.3084178,0.229,0.22895424,0.148,0.17004973
5652,23804,15/9-F-11 B,4340.0,0.189,0.30180675,0.243,0.24298234,0.15,0.17260228
5653,23805,15/9-F-11 B,4340.1,0.191,0.29598695,0.248,0.24898602,0.153,0.17467625
5654,23806,15/9-F-11 B,4340.2,0.186,0.2886098,0.244,0.24482803,0.155,0.17671934
5655,23807,15/9-F-11 B,4340.3,0.185,0.28609604,0.255,0.25614652,0.157,0.17824084
5656,23808,15/9-F-11 B,4340.4,0.182,0.2835621,0.251,0.2525552,0.159,0.17911708
5657,23809,15/9-F-11 B,4340.5,0.186,0.2799215,0.247,0.24772085,0.16,0.1797013
5658,23810,15/9-F-11 B,4340.6,0.191,0.28358355,0.248,0.24920718,0.16,0.17883591
5659,23811,15/9-F-11 B,4340.7,0.196,0.27993703,0.243,0.2441142,0.161,0.18017748
5660,23812,15/9-F-11 B,4340.8,0.203,0.2851042,0.235,0.23565413,0.159,0.17744526
5661,23813,15/9-F-11 B,4340.9,0.206,0.28376108,0.223,0.22315551,0.159,0.1767104
5662,23814,15/9-F-11 B,4341.0,0.206,0.2840377,0.223,0.22270928,0.16,0.17687395
5663,23815,15/9-F-11 B,4341.1,0.203,0.27959466,0.228,0.2278711,0.162,0.17884988
5664,23816,15/9-F-11 B,4341.2,0.2,0.26956224,0.229,0.22944824,0.165,0.18263844
5665,23817,15/9-F-11 B,4341.3,0.197,0.2630203,0.221,0.22042097,0.169,0.18522501
5666,23818,15/9-F-11 B,4341.4,0.196,0.25659442,0.229,0.23014311,0.173,0.1886533
5667,23819,15/9-F-11 B,4341.5,0.194,0.25041074,0.233,0.23377417,0.176,0.19117329
5668,23820,15/9-F-11 B,4341.6,0.191,0.24773353,0.234,0.235148,0.179,0.19259045
5669,23821,15/9-F-11 B,4341.7,0.184,0.24282023,0.216,0.21618414,0.181,0.19352722
5670,23822,15/9-F-11 B,4341.8,0.179,0.2413584,0.212,0.21159397,0.182,0.19423112
5671,23823,15/9-F-11 B,4341.9,0.178,0.24028191,0.228,0.22865982,0.181,0.19483894
5672,23824,15/9-F-11 B,4342.0,0.174,0.24667418,0.246,0.24773158,0.178,0.19348654
5673,23825,15/9-F-11 B,4342.1,0.177,0.25517678,0.254,0.25565442,0.174,0.19075538
5674,23826,15/9-F-11 B,4342.2,0.181,0.25967392,0.235,0.2352585,0.169,0.1880387
5675,23827,15/9-F-11 B,4342.3,0.189,0.268499,0.228,0.22838269,0.164,0.18442802
5676,23828,15/9-F-11 B,4342.4,0.198,0.2848628,0.219,0.21783052,0.158,0.17915398
5677,23829,15/9-F-11 B,4342.5,0.203,0.29736626,0.212,0.21068692,0.153,0.17438015
5678,23830,15/9-F-11 B,4342.6,0.212,0.3081498,0.214,0.21305545,0.149,0.17114575
5679,23831,15/9-F-11 B,4342.7,0.209,0.31231672,0.218,0.21709995,0.147,0.16952768
5680,23832,15/9-F-11 B,4342.8,0.209,0.31078434,0.226,0.22536157,0.147,0.16973779
5681,23833,15/9-F-11 B,4342.9,0.21,0.31781167,0.227,0.22603242,0.146,0.16743317
5682,23834,15/9-F-11 B,4343.0,0.218,0.32511598,0.237,0.2368248,0.143,0.1652939
5683,23835,15/9-F-11 B,4343.1,0.231,0.33916134,0.241,0.23978193,0.14,0.1616109
5684,23836,15/9-F-11 B,4343.2,0.24,0.3480658,0.241,0.2403964,0.138,0.1589837
5685,23837,15/9-F-11 B,4343.3,0.241,0.35953325,0.212,0.20947061,0.139,0.15623325
5686,23838,15/9-F-11 B,4343.4,0.244,0.35868147,0.222,0.21927403,0.138,0.15672216
5687,23839,15/9-F-11 B,4343.5,0.246,0.36363724,0.221,0.218682,0.138,0.1552939
5688,23840,15/9-F-11 B,4343.6,0.252,0.37698722,0.219,0.2156026,0.135,0.15053454
5689,23841,15/9-F-11 B,4343.7,0.254,0.38753414,0.214,0.2101819,0.135,0.14770518
5690,23842,15/9-F-11 B,4343.8,0.254,0.3848204,0.214,0.21082626,0.135,0.14816192
5691,23843,15/9-F-11 B,4343.9,0.254,0.3850813,0.216,0.21268268,0.135,0.14784306
5692,23844,15/9-F-11 B,4344.0,0.256,0.3839671,0.226,0.2232325,0.134,0.1482571
5693,23845,15/9-F-11 B,4344.1,0.26,0.3942225,0.212,0.208616,0.134,0.14584006
5694,23846,15/9-F-11 B,4344.2,0.264,0.40053356,0.208,0.20391536,0.132,0.14404497
5695,23847,15/9-F-11 B,4344.3,0.272,0.4030962,0.224,0.22052191,0.129,0.14313138
